SR                     obs     bkg     bkg_err  S95_obs  S95_exp  
B098_6-7j_2b_600_1200  14    14.5  3.5      10.2     10.6     
B099_6-7j_2b_850_850   9     4.8   1.9      11.5     7.8      
B100_6-7j_2b_850_1700  1     1.7   1.2      3.7      4.4      
B101_6-7j_3b_300_300   86    78    9.4      32       26       
B102_6-7j_3b_300_600   167   154   12.5     45       35       
B103_6-7j_3b_300_1200  16    21.1  4.7      9.2      12.1     
B104_6-7j_3b_350_350   28    27.2  6        16.1     15.4     
B105_6-7j_3b_350_600   115   158   14       19       32       
B106_6-7j_3b_350_1200  23    20.2  4.8      15.6     13.9     
B107_6-7j_3b_600_600   6     6.3   2.7      7.5      7.5      
B108_6-7j_3b_600_1200  2     3     2        5        5        
B109_6-7j_3b_850_850   1     0.5   1.2      4.2      4.0      
B110_6-7j_3b_850_1700  1     0.2   1.9      4.7      4.4      
B111_8-9j_0b_300_600   245  258    43       69       75       
B112_8-9j_0b_300_1200  88   113    38       41       48       
B113_8-9j_0b_350_600   280  289    28       56       60       
B114_8-9j_0b_350_1200  104  129    21       26       38       
B115_8-9j_0b_600_600   28   20.9   3.8      19.1     13.4     
B116_8-9j_0b_600_1200  22   19.7   3.4      13.9     11.8     
B117_8-9j_0b_850_850   2    5.3    2        3.8      6.0      
B118_8-9j_0b_850_1700  1    3.7    1.8      3.3      5.1      
B119_8-9j_1b_300_600   229  247    25       42       53       
B120_8-9j_1b_300_1200  68   82     17       24       30       
B121_8-9j_1b_350_600   224  262    26       34       53       
B122_8-9j_1b_350_1200  90   107.8  12.6     19.8     29.1     
B123_8-9j_1b_600_600   7    12.2   3.3      5.8      8.8      
B124_8-9j_1b_600_1200  15   16.7   3.9      10.2     11.2     
B125_8-9j_1b_850_850   2    2.1    1.6      4.8      5.0      
B126_8-9j_1b_850_1700  2    2.4    1.6      4.6      5.0      
B127_8-9j_2b_300_600   193  190    14       40       38       
B128_8-9j_2b_300_1200  53   44.6   8        28.3     22.2     
B129_8-9j_2b_350_600   158  174    14       27       36       
B130_8-9j_2b_350_1200  74   58     7.5      35       23       
B131_8-9j_2b_600_600   7    6.2    2.7      8.5      7.9      
B132_8-9j_2b_600_1200  9    10.4   3.1      8.1      8.9      
B133_8-9j_2b_850_850   0    1.7    1.6      2.9      3.6      
B134_8-9j_2b_850_1700  2    2.9    3.4      5.0      5.4      
B135_8-9j_3b_300_600   57   54.3   6.9      22.1     20.6     
B136_8-9j_3b_300_1200  17   22.2   4.8      9.4      12.4     
