SR                     obs     bkg     bkg_err  S95_obs  S95_exp  
B096_6-7j_2b_350_1200  106     100.6   7.9      29.3     25.5     
B097_6-7j_2b_600_600   32      33.7    4.1      13.7     14.6     
B098_6-7j_2b_600_1200  14      14.7    2.5      9.7      9.9      
B099_6-7j_2b_850_850   9       5.9     1.5      9.9      7.3      
B100_6-7j_2b_850_1700  1       1.68    0.55     3.8      4.05     
B101_6-7j_3b_300_300   86      81.3    7.0      26.9     22.8     
B102_6-7j_3b_300_600   167     158.4   9.8      38.0     31.8     
B103_6-7j_3b_300_1200  16      18.8    3.2      9.6      11.4     
B104_6-7j_3b_350_350   28      27.2    4.3      15.0     14.0     
B105_6-7j_3b_350_600   115     136.7   9.5      17.4     29.4     
B106_6-7j_3b_350_1200  23      21.2    3.0      13.2     12.1     
B107_6-7j_3b_600_600   6       6.1     1.6      6.8      6.8      
B108_6-7j_3b_600_1200  2       2.68    0.99     4.3      5.1      
B109_6-7j_3b_850_850   1       0.45    0.15     3.77     3.03     
B110_6-7j_3b_850_1700  1       0.47    0.40     3.6      3.19     
B111_8-9j_0b_300_600   245     247     16       42       45       
B112_8-9j_0b_300_1200  88      92.4    8.3      22.2     25.6     
B113_8-9j_0b_350_600   280     278     16       48       45       
B114_8-9j_0b_350_1200  104     114.1   8.8      20.6     27.3     
B115_8-9j_0b_600_600   28      22.5    3.1      16.9     12.5     
B116_8-9j_0b_600_1200  22      19.9    3.0      13.1     11.8     
B117_8-9j_0b_850_850   2       4.2     1.2      4.1      5.8      
B118_8-9j_0b_850_1700  1       2.88    0.94     3.41     5.03     
B119_8-9j_1b_300_600   229     233     14       38       40       
B120_8-9j_1b_300_1200  68      71.8    7.6      19.6     22.5     
B121_8-9j_1b_350_600   224     234     14       34       42       
B122_8-9j_1b_350_1200  90      95.9    7.4      20.0     25.1     
B123_8-9j_1b_600_600   7       10.1    2.2      6.1      8.1      
B124_8-9j_1b_600_1200  15      15.1    2.8      10.4     10.5     
B125_8-9j_1b_850_850   2       1.39    0.52     4.61     3.98     
B126_8-9j_1b_850_1700  2       1.87    0.76     4.57     4.54     
B127_8-9j_2b_300_600   193     190     10       36       34       
B128_8-9j_2b_300_1200  53      47.6    6.7      23.3     19.7     
B129_8-9j_2b_350_600   158     165     10       27       32       
B130_8-9j_2b_350_1200  74      62.4    5.7      30.2     20.4     
B131_8-9j_2b_600_600   7       6.4     1.7      7.7      6.9      
B132_8-9j_2b_600_1200  9       9.8     2.1      7.7      8.2      
B133_8-9j_2b_850_850   0       1.15    0.57     3.1      3.34     
B134_8-9j_2b_850_1700  2       2.4     1.4      4.7      4.9      
B135_8-9j_3b_300_600   57      55.2    5.6      20.0     19.8     
B136_8-9j_3b_300_1200  17      20.0    3.2      9.4      11.3     
B137_8-9j_3b_350_600   36      46.6    5.2      10.8     16.5     
B138_8-9j_3b_350_1200  23      20.4    3.0      13.7     11.8     
B139_8-9j_3b_600_600   2       1.11    0.54     4.8      4.02     
B140_8-9j_3b_600_1200  2       3.1     1.2      4.3      5.3      
B141_8-9j_3b_850_850   0       0.65    0.49     3.04     2.97     
B142_8-9j_3b_850_1700  0       0.13    0.07     2.94     2.92     
B143_10j_0b_300_600    17      16.4    3.4      11.4     11.1     
B144_10j_0b_300_1200   20      19.9    3.9      12.6     12.4     
B145_10j_0b_350_600    12      12.7    2.5      8.9      9.6      
B146_10j_0b_350_1200   21      22.2    3.5      11.4     12.5     
B147_10j_0b_600_600    2       0.85    0.46     4.77     3.75     
B148_10j_0b_600_1200   6       4.4     1.3      7.7      6.3      
B149_10j_0b_850_850    0       0.04    0.03     2.95     2.95     
B150_10j_0b_850_1700   2       0.83    0.52     4.87     3.96     
B151_10j_1b_300_600    22      20.5    3.4      13.1     12.2     
B152_10j_1b_300_1200   18      18.1    3.5      11.6     11.4     
B153_10j_1b_350_600    9       13.8    2.8      6.4      9.5      
B154_10j_1b_350_1200   32      24.0    3.2      19.9     12.9     
B155_10j_1b_600_600    0       0.16    0.12     2.93     2.9      
B156_10j_1b_600_1200   3       2.14    0.78     5.53     5.02     
B157_10j_1b_850_850    0       0.04    0.03     2.95     2.93     
B158_10j_1b_850_1700   1       0.93    0.6      3.68     3.52     
B159_10j_2b_300_600    15      15.2    2.6      10.4     10.4     
B160_10j_2b_300_1200   11      13.0    2.6      8.0      9.3      
B161_10j_2b_350_600    11      16.4    2.6      6.6      10.3     
B162_10j_2b_350_1200   12      14.3    2.3      7.8      9.6      
B163_10j_2b_600_600    0       0.94    0.79     2.95     3.28     
B164_10j_2b_600_1200   0       0.89    0.53     3.06     3.07     
B165_10j_2b_850_850    0       0.04    0.03     2.93     2.91     
B166_10j_2b_850_1700   0       0.11    0.10     2.95     2.88     
B167_10j_3b_300_600    13      9.1     1.7      12.0     8.1      
B168_10j_3b_300_1200   5       5.4     1.5      6.0      6.5      
B169_10j_3b_350_600    3       2.46    0.98     5.64     5.05     
B170_10j_3b_350_1200   9       6.7     1.7      9.4      7.7      
B171_10j_3b_600_600    0       0.11    0.11     2.96     2.87     
B172_10j_3b_600_1200   1       0.4     0.36     3.7      3.2      
B173_10j_3b_850_850    0       0.04    0.03     2.95     2.93     
B174_10j_3b_850_1700   0       0.13    0.12     2.95     2.87     
