SR             obs  bkg   bkg_err  S95_obs  S95_exp  
2l_low_04      73   68.7  8.7      27.0     24.9     
2l_low_10      165  151   13       46       36       
2l_low_20      156  151   13       39       35       
2l_low_30      80   82.9  9.6      24.1     25.6     
2l_med_01      2    5.5   2.5      4.0      6.1      
2l_med_04      19   17.8  4.4      13.1     12.5     
2l_med_10      59   60.1  8.3      22.1     22.0     
2l_med_20      47   44.3  7.7      21.9     19.8     
2l_med_30      24   27.7  5.6      12.2     14.2     
2l_high_01     2    2.7   1.9      4.6      5.0      
2l_high_04     11   7.7   3.9      12.8     10.6     
2l_high_10     19   23.8  5.4      10.2     13.1     
2l_high_20     13   17    4.5      9        11       
2l_high_30     10   11.6  5.8      10.0     11.0     
2l_ultra_01    1    1.5   1.3      3.7      4.1      
2l_ultra_04    3    5.2   2.5      5.1      6.3      
2l_ultra_10    15   13.5  4.1      12.4     11.6     
2l_ultra_20    13   8.8   3.2      13.4     10.5     
2l_ultra_30    9    6.8   3        10.4     9.0      
3l_EWK_low_04  3    5.7   2.2      4.9      6.5      
3l_EWK_low_10  7    4.9   2.2      9.0      7.6      
3l_EWK_low_20  4    2.4   1.5      7.3      6.0      
3l_EWK_low_30  1    1.8   1.4      3.6      4.3      
3l_EWK_med_01  3    1.7   1.2      6.3      5.1      
3l_EWK_med_04  1    4     1.8      4        5        
3l_EWK_med_10  5    4.2   2        7.2      6.8      
3l_EWK_med_20  2    1.7   1.3      5.1      4.8      
3l_EWK_med_30  1    1.3   1.1      3.7      4.1      
3l_WZ_low_04   4    3.5   1.8      6.6      6.2      
3l_WZ_low_10   11   6.1   2.3      13.0     8.8      
3l_WZ_low_20   9    7.8   2.6      9.3      8.4      
3l_WZ_med_01   0    0.78  0.97     2.9      3.1      
3l_WZ_med_04   3    3.1   1.6      5.5      5.5      
3l_WZ_med_10   19   14    3.4      16       12       
3l_WZ_med_20   23   21    4.2      15       13       
stop_low_03    52   49.9  7.2      21.6     20.2     
stop_low_08    156  144   12       43       34       
stop_low_12    196  180   14       52       40       
stop_low_16    238  229   16       50       44       
stop_low_20    285  273   18       57       48       
stop_low_25    246  256   17       39       44       
stop_med_03    53   49.9  7.3      22.6     20.6     
stop_med_08    130  129   12       33       33       
stop_med_12    153  156   13       33       35       
stop_med_16    163  177   14       28       36       
stop_med_20    220  220   16       42       42       
stop_med_25    219  218   16       42       43       
stop_high_03   4    4.1   2.1      6.3      6.5      
stop_high_08   15   15    4.1      12       12       
stop_high_12   16   14.8  4.1      12.6     11.4     
stop_high_16   23   24.6  5.2      12.8     14.0     
stop_high_20   30   28.8  5.8      16.5     15.8     
stop_high_25   38   31.5  6        22.3     18.0     
stop_ultra_03  7    4.7   2.3      9.3      7.6      
stop_ultra_08  11   12.2  3.6      9.2      9.7      
stop_ultra_12  14   11.6  3.6      12.1     10.6     
stop_ultra_16  11   16.7  4.4      7.4      10.4     
stop_ultra_20  26   25.7  5.5      15.3     14.8     
stop_ultra_25  25   27.9  5.7      12.9     14.9     
