analysis             sr                         o          b          db                  s                     ds                    s95obs    s95exp    robscons                rexpcons                
atlas_1807_07447     1e1g5j                     3.0        2.4        1.0                 0                     0.0                   5.6       5.3       0.0                     0.0                     
atlas_1807_07447     1e1g6j                     0.0        0.65       0.2                 0                     0.0                   2.95      2.89      0.0                     0.0                     
atlas_1807_07447     1e1g7j                     2.0        0.2        0.15                0                     0.0                   5.6       3.0       0.0                     0.0                     
atlas_1807_07447     1e2b                       710.0      692.0      92.0                0                     0.0                   179.0     172.0     0.0                     0.0                     
atlas_1807_07447     1e2b1j                     7512.0     6622.0     1500.0              0                     0.0                   3049.0    2631.0    0.0                     0.0                     
atlas_1807_07447     1e2b2j                     3017.0     2662.0     500.0               0.007958093096317296  0.007958094724915186  1098.0    918.0     0                       0                       
atlas_1807_07447     1e2b3j                     873.0      770.0      100.0               0.00813572091731765   0.008135725399809727  272.0     201.0     0                       0                       
atlas_1807_07447     1e2b4j                     223.0      182.0      35.0                0                     0.0                   99.0      74.0      0.0                     0.0                     
atlas_1807_07447     1e2b5j                     41.0       40.0       7.0                 0                     0.0                   20.0      19.0      0.0                     0.0                     
atlas_1807_07447     1e2b6j                     14.0       7.6        1.7                 0                     0.0                   14.5      8.3       0.0                     0.0                     
atlas_1807_07447     1e2b7j                     1.0        1.5        0.7                 0                     0.0                   3.8       4.0       0.0                     0.0                     
atlas_1807_07447     1e2b8j                     1.0        0.17       0.17                0                     0.0                   3.9       2.98      0.0                     0.0                     
atlas_1807_07447     1e2g                       0.0        0.7        0.2                 0                     0.0                   3.0       2.9       0.0                     0.0                     
atlas_1807_07447     1e2g1b1j                   0.0        0.14       0.1                 0                     0.0                   2.91      2.88      0.0                     0.0                     
atlas_1807_07447     1e2g1b2j                   0.0        0.18       0.07                0                     0.0                   2.92      2.91      0.0                     0.0                     
atlas_1807_07447     1e2g1j                     1.0        0.54       0.22                0                     0.0                   3.68      3.05      0.0                     0.0                     
atlas_1807_07447     1e2g2j                     0.0        0.24       0.12                0                     0.0                   2.94      2.93      0.0                     0.0                     
atlas_1807_07447     1e2g3j                     0.0        0.19       0.1                 0                     0.0                   2.95      2.9       0.0                     0.0                     
atlas_1807_07447     1e3b                       426.0      340.0      45.0                0                     0.0                   162.0     102.0     0.0                     0.0                     
atlas_1807_07447     1e3b1j                     338.0      256.0      41.0                0                     0.0                   150.0     95.0      0.0                     0.0                     
atlas_1807_07447     1e3b2j                     158.0      108.0      18.0                0                     0.0                   84.0      48.0      0.0                     0.0                     
atlas_1807_07447     1e3b3j                     46.0       35.5       8.0                 0                     0.0                   28.6      21.2      0.0                     0.0                     
atlas_1807_07447     1e3b4j                     9.0        9.0        2.6                 0                     0.0                   9.0       9.0       0.0                     0.0                     
atlas_1807_07447     1e3b5j                     2.0        2.2        0.7                 0                     0.0                   4.5       4.7       0.0                     0.0                     
atlas_1807_07447     1e3b6j                     1.0        0.5        0.4                 0                     0.0                   3.7       3.3       0.0                     0.0                     
