# This file is not used by CheckMATE 2. To edit values by hand, please refer to the corresponding var.j file!
SR       S95_obs  S95_exp  bkg  bkg_err  obs  
SR0noZa  4.7      3.9      1.7  0.8      2    
SR0noZb  3.7      3.6      1.6  0.6      1    
SR1noZ   7.5      5.3      2    1.3      4    
SR0Z     10.4     6.7      4.8  1.8      8    
SR1Z     6.5      4.5      1.3  1.0      3    
