# atlas, 13TeV, tracks, displaced vertices and missing energy

Inputfile:
XSect:           0.209594 fb
 Error:          0 fb
MCEvents:        9836
 SumOfWeights:   0.000443597
 SumOfWeights2:  3.71842e-11
 NormEvents:     6.87468

SR   Sum_W       Sum_W2       Acc      N_Norm   
SR1  0.00020319  1.70322e-11  0.45805  3.14895  
