5.0	0.0	10.0	0.0
12.5	10.0	15.0	0.02364
17.5	15.0	20.0	0.04166
21.5	20.0	23.0	0.04162
25.0	23.0	27.0	0.4375
28.5	27.0	30.0	0.7439
35.0	30.0	40.0	0.7972
45.0	40.0	50.0	0.7843
60.0	50.0	70.0	0.8372
80.0	70.0	90.0	0.8554
105.0	90.0	120.0	0.8632
135.0	120.0	150.0	0.8702
175.0	150.0	200.0	0.8858
250.0	200.0	300.0	0.8997
375.0	300.0	450.0	0.9159
525.0	450.0	600.0	0.9341
700.0	600.0	800.0	0.9413
900.0	800.0	1000.0	0.9492
