SR   obs  bkg    bkg_err_stat  bkg_err_sys  S95_obs  S95_exp  
SR1  19   18.0   0.5           3.8          12.4     12.0     
SR2  0    1.01   0.06          0.30         3.02     3.64     
SR3  0    0.051  0.015         0.010        2.938    2.943    
