SR   obs  bkg   bkg_err  S95_obs  S95_exp  
2jl  263  283   24       44       54       
2jm  191  191   21       48       48       
2jt  26   23    4        17       14       
4jt  7    4.6   1.1      8.7      6.3      
5j   7    13.2  2.2      5.4      8.7      
6jm  4    6.9   1.5      5.4      6.6      
6jt  3    4.2   1.2      5.0      5.7      
