SR     obs  bkg   bkg_err  S95_obs  S95_exp  
SRA    17   17.1  2.8      10.9     10.6     
SRAL   12   8.4   1.7      11.2     8.3      
SRAM   3    5.7   0.8      4.2      6.3      
SRAH   2    3     1.5      4        5        
SRB    3    3.3   0.9      5.0      5.5      
SRC    47   37.9  6.2      25.5     18.9     
SRC22  28   21.2  4.1      19.2     13.6     
SRC24  12   10.6  2.3      10.3     9.2      
SRC26  4    3.7   0.9      5.8      5.4      
SRC28  3    2.4   0.6      5.2      4.8      
