SR           obs     bkg     bkg_err  S95_obs  S95_exp  
1e5b1j  1     0.3   0.12     3.9      3.1      
1e5b2j  0     0.14  0.12     2.98     2.88     
1m1j    40743  39600  8500     14187    13771    
1m2j    14307  14300  4000     5920     5924     
1m3j    23606  21100  7500     12514    11685    
1m4j    4391   3930   1250     2195     2009     
1m5j    794    711    220      394      362      
1m6j    170    122    34       100      74       
1m7j    25     21     8        20       18       
1m8j    4      3.7    1.6      6.5      6.0      
1m9j    1      0.6    0.4      3.4      3.3      
1m1b    3798   3400   730      1475     1293     
1m1b1j  3605   3500   500      922      868      
1m1b2j  15224  13250  2000     4950     3849     
1m1b3j  4285   3840   450      1147     855      
1m1b4j  1051   940    140      331      266      
1m1b5j  218    207    44       87       79       
1m1b6j  43     43     14       26       26       
1m1b7j  6      7.6    6        8.3      8.7      
1m1b8j  2      1.4    2.6      5.5      5.4      
1m1b9j  0      0.24   0.15     2.94     2.91     
1m2b    584    617    72       112      127      
1m2b1j  7653   6850   1010     2337     1898     
1m2b2j  3173   2700   500      1202     958      
1m2b3j  944    800    120      332      240      
1m2b4j  207    196    36       77       68       
1m2b5j  40     46.8   11.6     18.4     22.8     
1m2b6j  8      8.5    4        8.7      9.2      
1m2b7j  1      1.5    0.6      3.5      4.1      
1m2b8j  0      0.27   0.08     2.95     2.95     
1m3b    496    380    56       206      128      
1m3b1j  422    295    44       198      111      
1m3b2j  175    125    23       90       57       
1m3b3j  41     41     10       22       22       
1m3b4j  15     10.8   2.3      12.9     9.4      
1m3b5j  4      2.4    1.9      7.4      6.5      
1m3b6j  0      0.5    0.3      3.0      3.0      
1m3b7j  0      0.21   0.18     2.97     2.85     
1m4b    21     9.6    4.5      22.3     15.3     
1m4b1j  8      8.6    2.4      7.8      8.2      
1m4b2j  10     5      2.1      12       9        
1m4b3j  2      1.7    0.9      4.8      4.6      
1m4b4j  0      0.5    0.3      3.0      2.9      
1m4b5j  0      0.16   0.18     2.96     2.81     
1m5b    1      0.25   0.08     3.76     3.04     
1m5b1j  1      0.36   0.14     3.59     3.03     
1m5b2j  0      0.15   0.07     2.93     2.94     
1m1e         641     602     54       140      113      
1m1e1j       420     377     43       122      91       
1m1e2j       165     133     21       70       49       
1m1e3j       136     108     20       64       46       
1m1e4j       25      21      6        18       16       
1m1e5j       3       3.6     0.9      4.9      5.3      
1m1e6j       0       0.65    0.65     3.13     3.02     
1m1e7j       1       0.1     0.1      4.0      2.9      
1m1e1b       495     475     42       105      89       
1m1e1b1j     304     285     32       81       70       
1m1e1b2j     420     346     39       142      89       
1m1e1b3j     83      70      15       42       35       
1m1e1b4j     11      14.2    3.4      7.8      10.0     
1m1e1b5j     3       2.6     0.4      5.1      4.8      
1m1e1b6j     0       0.4     0.8      3.0      3.1      
1m1e1b7j     1       0.1     0.1      4.0      3.1      
1m1e2b       167     160     26       57       54       
1m1e2b1j     338     291     33       107      75       
1m1e2b2j     85      71      10       37       27       
1m1e2b3j     23      16.4    2.7      16.8     11.5     
1m1e2b4j     2       3.0     0.7      4.1      4.9      
1m1e2b5j     1       0.58    0.12     3.75     2.98     
1m1e2b6j     0       0.12    0.04     2.97     2.92     
1m1e3b       20      14.9    6.1      18.1     15.3     
1m1e3b1j     7       6.9     1.8      7.3      7.2      
1m1e3b2j     7       2.6     0.7      10.2     5.3      
1m1e3b3j     1       0.6     0.6      3.8      3.5      
1m1e3b4j     0       0.15    0.15     2.98     2.84     
1m1e4b       1       0.52    0.35     3.75     3.16     
1m1e4b1j     1       0.33    0.1      3.83     3.0      
1m1e4b2j     2       0.1     0.04     5.5      3.1      
2e           371060  408000  71000    89794    105216   
2e1j         26950   27000   6800     10258    10360    
2e2j         5623    5275    1800     2820     2692     
2e3j         1032    970     320      511      490      
2e4j         178     172     65       99       97       
2e5j         38      33      12       27       24       
2e6j         2       6.0     3.1      4.1      6.2      
2e7j         1       1.0     0.5      3.4      3.4      
2e8j         0       0.2     0.16     3.0      2.9      
2e1b         3831    3480    600      1271     1074     
2e1b1j       1565    1333    280      641      529      
2e1b2j       371     327     70       157      131      
2e1b3j       75      77      19       34       35       
2e1b4j       22      15.7    3.9      17.4     12.7     
2e1b5j       2       3.3     1.1      4.1      5.4      
2e1b6j       1       0.7     0.7      3.8      3.6      
2e1b7j       1       0.13    0.08     3.96     3.0      
2e2b         562     495     86       202      165      
2e2b1j       190     178     24       61       51       
2e2b2j       53      44      6        26       19       
2e2b3j       11      10      1.7      9        8        
2e2b4j       1       2.2     0.6      3.5      4.5      
2e2b5j       1       0.5     0.2      3.8      3.1      
2e3b         7       8.8     2.2      6.8      8.0      
2e3b1j       8       4.2     1.6      10.4     7.1      
2e3b2j       2       1.2     0.26     4.6      4.0      
2e3b3j       1       0.38    0.34     3.67     3.22     
2e3b4j       1       0.1     0.28     4.1      3.6      
2e4b         0       0.22    0.06     2.94     2.96     
2e4b1j       0       0.13    0.04     2.95     2.94     
2m           639080  703000  96000    119778   146184   
2m1j         35938   37100   6400     9481     10160    
2m2j         7499    7500    1900     2873     2899     
2m3j         1422    1330    450      721      686      
2m4j         237     245     82       116      116      
2m5j         44      41      15       29       27       
2m6j         4       8.3     3.5      5.1      7.6      
2m7j         2       2       1.3      5        5        
2m8j         1       0.24    0.15     3.79     3.12     
2m1b         5275    4640    470      1355     939      
2m1b1j       1836    1780    240      468      428      
2m1b2j       495     435     76       182      147      
2m1b3j       94      100     21       35       39       
2m1b4j       20      20.2    5.9      13.7     14.1     
2m1b5j       4       3.8     2.0      6.4      6.3      
2m1b6j       1       0.7     0.23     3.7      3.0      
2m1b7j       1       0.1     0.1      4.0      3.0      
2m2b         660     660     90       160      160      
2m2b1j       269     230     31       95       68       
2m2b2j       83      54.5    14       54.4     36.6     
