SR               obs  bkg   bkg_err  S95_obs  S95_exp  
SR-DF-0J-INC100  95   96    15       33       33       
SR-DF-0J-INC160  21   18.8  2.4      13.0     10.9     
SR-DF-0J-EXC100  47   45    9        23       21       
SR-DF-0J-EXC120  27   33    5        11       15       
SR-DF-1J-INC100  75   75    9        25       25       
SR-DF-1J-INC160  15   15.1  2.7      10.3     10.0     
SR-DF-1J-EXC100  38   39    6        16       17       
SR-DF-1J-EXC120  22   21.3  2.8      11.9     11.7     
SR-SF-0J-INC100  147  144   12       36       33       
SR-SF-0J-INC160  37   37.3  3        14.1     14.4     
SR-SF-0J-EXC100  53   56    6        17       19       
SR-SF-0J-EXC120  57   51    5        23       18       
SR-SF-1J-INC100  120  124   12       29       32       
SR-SF-1J-INC160  29   36    5        11       15       
SR-SF-1J-EXC100  55   48    8        26       22       
SR-SF-1J-EXC120  36   40    4        13       15       
SR-SF-0Ja        14   15.8  2.3      9.0      10.1     
SR-SF-0Jb        15   13.9  1.9      10.2     9.5      
SR-SF-0Jc        24   26.9  3.2      10.8     12.5     
SR-SF-0Jd        37   33.3  3.4      17.5     14.3     
SR-SF-0Je        20   17.4  2.4      12.6     11.0     
SR-SF-0Jf        12   10.4  1.2      9.6      8.2      
SR-SF-0Jg        12   13.4  1.6      8.1      9.1      
SR-SF-0Jh        5    6.7   1.1      5.6      6.7      
SR-SF-0Ji        8    6.8   1.0      7.8      6.9      
SR-DF-0Ja        14   14    4        11       11       
SR-DF-0Jb        14   11.3  2.9      11.9     10.3     
SR-DF-0Jc        19   20    4        12       12       
SR-DF-0Jd        16   21.7  3.0      7.9      11.6     
SR-DF-0Je        11   11.0  2.0      8.8      8.7      
SR-DF-0Jf        8    6.3   0.9      8.5      6.6      
SR-DF-0Jg        9    6.5   1.2      9.2      7.2      
SR-DF-0Jh        0    3.2   0.6      3.2      5.0      
SR-DF-0Ji        4    2.9   0.5      6.2      5.2      
SR-SF-1Ja        12   17    4        8        11       
SR-SF-1Jb        13   13.7  2.5      9.1      9.6      
SR-SF-1Jc        30   17    4        25       14       
SR-SF-1Jd        21   23.3  2.8      10.6     12.0     
SR-SF-1Je        15   17.0  2.3      8.7      10.4     
SR-SF-1Jf        11   9.4   1.9      9.6      8.6      
SR-SF-1Jg        8    12.3  1.6      5.7      8.7      
SR-SF-1Jh        5    6.5   1.4      5.6      6.7      
SR-SF-1Ji        5    8.0   2.7      5.8      7.4      
SR-DF-1Ja        12   14.7  2.9      8.1      9.8      
SR-DF-1Jb        12   9.9   2.0      10.3     8.5      
SR-DF-1Jc        14   14.3  2.4      9.6      10.0     
SR-DF-1Jd        15   14.8  2.2      10.2     9.5      
SR-DF-1Je        7    6.5   1.0      7.4      6.8      
SR-DF-1Jf        4    4.4   0.9      5.5      6.0      
SR-DF-1Jg        5    5.6   1.0      5.8      6.3      
SR-DF-1Jh        3    2.4   0.7      5.3      5.0      
SR-DF-1Ji        3    2.7   0.8      5.4      5.1      
