SR        obs  bkg   bkg_err  S95_obs  S95_exp  
2j-1200   582  517   31       128      77       
2j-1600   204  216   18       38       43       
2j-2000   70   88    9        15       24       
2j-2400   33   40    4        11       15       
2j-2800   17   15.5  1.9      10.7     9.7      
2j-3600   5    3.3   0.8      7.0      5.3      
2j-B1600  23   21    4        14       13       
2j-B2400  2    3.9   1.0      4.1      5.6      
2j-2100   180  143   13       67       37       
3j-1300   405  378   28       86       67       
4j-1000   135  120   11       43       31       
4j-1400   179  169   15       46       39       
4j-1800   53   43    6        27       19       
4j-2200   23   15.4  2.2      17.6     10.2     
4j-2600   4    4.0   1.2      5.8      6.1      
4j-3000   2    1.8   0.6      4.4      4.3      
5j-1600   122  119   12       34       32       
5j-1700   45   39    5        21       17       
5j-2000   52   58    7        16       20       
5j-2600   10   5.7   1.3      11.3     7.2      
6j-1200   250  249   30       62       64       
6j-1800   9    3.0   1.3      12.8     7.2      
6j-2200   3    1.6   0.5      5.8      4.2      
6j-2600   1    0.8   0.6      3.5      3.5      
