SR        obs  bkg   bkg_errp  bkg_errm  S95_obs  S95_exp  
SRaaSL    0    0.5   0.3       0.26      3.0      2.9      
SRaaSH    0    0.48  0.3       0.25      2.97     2.9      
SRaaWL    6    3.7   1.1       1.1       8.1      6.2      
SRaaWH    1    2.05  0.65      0.63      3.53     4.4      
SRajL     4    1.33  0.54      0.32      7.19     4.2      
SRajL200  8    2.68  0.64      0.63      11.45    5.56     
SRajH     3    1.14  0.61      0.36      6.29     4.12     
