SR           obs  bkg   bkg_err  S95_obs  S95_exp  
Rpc2L2bS     3    3.3   1.0      5.1      5.4      
Rpc2L2bH     0    1.08  0.32     3.02     3.6      
Rpc2Lsoft1b  4    5.8   2.5      5.6      6.6      
Rpc2Lsoft2b  5    3.8   1.6      7.2      6.2      
Rpc2L0bS     7    6.0   1.8      8.3      7.3      
Rpc2L0bH     3    2.4   1.0      5.6      5.1      
Rpc3L0bS     9    11    3        8        9        
Rpc3L0bH     3    3.3   0.8      5.2      5.5      
Rpc3L1bS     20   17    4        14       12       
Rpc3L1bH     4    3.9   0.9      5.7      5.7      
Rpc2L1bS     14   9.8   2.9      13.5     9.9      
Rpc2L1bH     13   9.8   2.6      11.9     9.6      
Rpc3LSS1b    1    1.6   0.8      3.8      4.2      
Rpv2L1bH     2    1.6   0.4      4.4      4.0      
Rpv2L0b      2    1.0   0.4      4.8      4.1      
Rpv2L2bH     1    1.6   0.5      3.7      4.0      
Rpv2L2bS     20   19    7        16       15       
Rpv2L1bS     26   25    7        17       16       
Rpv2L1bM     9    4.8   1.6      11.2     7.3      
