SR         obs  bkg  bkg_err  S95_obs  S95_exp  
Rpc2L0b    6    4.8  1.5      7.5      7.0      
Rpc2L1b    11   6.5  1.6      11.9     7.6      
Rpc2L2b    12   7.8  2.2      12.2     9.0      
Rpc3LSS1b  4    3.5  1.5      6.5      5.9      
Rpv2L      5    5.6  1.8      6.2      6.7      
