SR                obs  bkg   bkg_err  S95_obs  S95_exp  
SR-Gtt-0L-B       3    0.81  0.32     6.59     3.71     
SR-Gtt-0L-M1      3    1.3   0.6      6.2      4.4      
SR-Gtt-0L-M2      5    3     1.3      8        6        
SR-Gtt-0L-C       5    1.7   0.8      8.3      5.3      
SR-Gtt-1L-B       1    0.6   0.4      3.7      3.2      
SR-Gtt-1L-M1      0    0.56  0.27     3.01     2.92     
SR-Gtt-1L-M2      0    1.0   0.4      3.1      3.0      
SR-Gtt-1L-C       2    4     2        4        5        
SR-Gbb-B          7    3.9   1.4      9.3      6.7      
SR-Gbb-M          18   13    4        16       13       
SR-Gbb-C          32   33    9        18       19       
SR-Gtb-B          8    2.8   0.9      11.3     6.0      
SR-Gtb-M          1    1.2   0.6      3.6      3.7      
SR-Gtb-C          4    6     2.2      5        7        
SR-Gtt-2100-1     0    0.6   0.4      3.1      2.9      
SR-Gtt-1800-1     0    0.52  0.27     3.01     2.91     
SR-Gtt-2300-1200  1    0.9   0.5      3.6      3.4      
SR-Gtt-1900-1400  1    1.0   1.0      3.9      3.7      
SR-Gbb-2800-1400  1    1.4   0.6      3.7      3.9      
SR-Gbb-2300-1000  1    1.2   0.6      3.6      3.7      
SR-Gbb-2100-1600  0    1.8   1.3      3.0      4.0      
SR-Gbb-2000-1800  1    0.6   0.5      3.7      3.4      
